1,Vince Reh,,16.15,177,243,138
2,Ted Swavely,,16.15,168,261,116
3,Erik Vreumingen,,16.18,240,230,145
4,Anthony Sasso,,16.18,,,
5,marco verni,,16.23,155,100,130
6,Mike Bennett,,16.32,175,272,143
7,Aaron Larson,,16.33,159,184,129
8,Mike Hennessey,,16.36,147,232,129
9,Glenn Klein,,16.48,197,293,150
11,John Gallagher,,16.48,118,175,95
12,Dave Forsberg,,16.79,178,195,135
13,Mattias Eriksson,,16.81,170,180,160
14,Niklas Trennéus,,16.85,209,222,170
15,sergei Gen,,17,202,279,152
16,Norm Balke,,17.09,,,
17,Allen Schulte,,17.1,180,240,140
18,BLERIM POLISI,,17.19,170,230,160
19,Scott Reida,,17.2,154,277,143
20,Kimmo Paganus,,17.28,206,279,127
21,ian winchester,,17.33,134,181,145
22,Matt Eicholtz,,17.38,,,
23,Jay Harvard,,17.45,170,260,160
24,alex tammert,,17.6,195,270,150
25,jason gray,,17.68,211,302,186
26,Jeff Kremer,,17.91,166,206,166
27,Kevin McMahon,,18,140,230,160
28,Howard Hausauer,,18.06,202,288,134
29,John Wirtz,,18.06,175,295,125
30,JASON TUNKS,,18.19,193,270,136
31,Michael Fleisch,,18.21,181,256,150
32,Lee Newman,,18.9,172,235,142
33,Jason Tunks,,19.07,220,285,145
34,Kent Pagel,,19.18,225,299,190
35,Cor Booysen,,19.2,180,230,155
36,Ercegovac Stevimir,,19.45,200,280,110
37,Dave Wilson,,19.69,218,249,188
38,brad snyder,,19.7,230,342,182
39,Jim Camp,,19.96,195,270,170
40,Henrik Wennberg,,19.98,184,311,150
41,Andrew Bloom,,20.19,159,327,204
42,Art McDermott,,20.56,227,283,175
43,kevin akins,,21.61,238,376,191
44,Sergei Smirnov,,22.28,260,385,223
45,Werner Gunthoer,,22.75,235,345,205
46,Ulf Timmerman,,23.06,250,365,220
